id,dataPath,caption,chartType,xAxis,yAxis,URL
1,2Columns/1.csv,Previous versions of this fact sheet included audience data stretching back to 2008. That data is available in the archived 2017 fact sheet.,line,Year,Evening news audience,https://www.journalism.org/fact-sheet/network-news/
2,2Columns/2.csv,"Average audience for the network TV Sunday morning political talk shows on ABC, CBS, Fox and NBC – This Week, Face the Nation, Fox News Sunday and Meet the Press, respectively – declined 8% in 2018, to about 2.3 million average viewers.",line,Year,Morning news audience,https://www.journalism.org/fact-sheet/network-news/
3,2Columns/3.csv,"The average audience for the four newsmagazine shows aired by the networks – ABC’s 20/20, CBS’s 60 Minutes and 48 Hours, and NBC’s Dateline – declined in 2018, down 8% from 2017.",line,Year,Sunday morning political talk show audience,https://www.journalism.org/fact-sheet/network-news/
4,2Columns/4.csv,"Combined advertiser expenditures for the evening broadcast news programs, ABC’s World News Tonight, CBS Evening News and NBC Nightly News, were $518 million in 2018, a decline of 6% compared with 2017, according to estimates from Kantar Media. (This data reflects the amount of money paid by advertisers, rather than the amount of revenue actually earned by networks.)",line,Year,Newsmagazine audience,https://www.journalism.org/fact-sheet/network-news/
5,2Columns/5.csv,"The three networks’ advertiser expenditures for the morning news programs saw a slight increase in 2018, increasing 3% to $1.13 billion from $1.09 billion.",line,Year,Average expenditure,https://www.journalism.org/fact-sheet/network-news/
6,2Columns/6.csv,This fact sheet was compiled by Associate Director Katerina Eva Matsa and Research Assistant Mason Walker.,line,Year,Average expenditure,https://www.journalism.org/fact-sheet/network-news/
7,2Columns/7.csv,"When looking specifically at NPR programming across all stations that carry it, terrestrial broadcast listenership declined somewhat between 2017 and 2018. (Traditional radio listening is “terrestrial,” i.e., coming from radio broadcast towers rather than satellites or the internet.) About 28.5 million average weekly listeners tuned in to NPR programming during the year, down from 30.1 million in 2017, according to internal data provided by the organization.",line,Year,Listenership,https://www.journalism.org/2019/07/23/public-broadcasting-fact-sheet-2/
8,2Columns/8.csv,The financial picture for news outlets in public broadcasting appeared strong both locally and nationally.,line,Year,Total average viewership,https://www.journalism.org/2019/07/23/public-broadcasting-fact-sheet-2/
9,2Columns/9.csv,"This revenue for local public radio comes from a range of streams, but individual giving (which includes member revenue and major gifts) and underwriting (from businesses and foundations as well as other nonprofit organizations) are two key sources of funding. Among the 123 news-oriented licensees studied here, individual giving and underwriting accounted for a combined $595.5 million in revenue in 2017.",line,Year,Total revenue,https://www.journalism.org/2019/07/23/public-broadcasting-fact-sheet-2/
10,2Columns/10.csv,"On the television side, NewsHour derives its revenue from a variety of sources, including PBS, the Corporation for Public Broadcasting (CPB) and a mix of “nonpublic” streams such as corporations, individual giving and foundations. While the details about public sources of revenue were unavailable for this analysis, NewsHour did provide information about its breakdown of nonpublic funding. In 2018, contributions from individuals comprised 13% of total nonpublic funding. (Information on whether the total amount of this funding rose or fell was also unavailable.)",line,Year,Total membership,https://www.journalism.org/2019/07/23/public-broadcasting-fact-sheet-2/
11,2Columns/11.csv,This fact sheet was compiled by Senior Writer/Editor Elizabeth Grieco.,line,Year,Total program and production expenses,https://www.journalism.org/2019/07/23/public-broadcasting-fact-sheet-2/
12,2Columns/12.csv,"When looking specifically at NPR programming across all stations that carry it, terrestrial broadcast listenership declined somewhat between 2017 and 2018. (Traditional radio listening is “terrestrial,” i.e., coming from radio broadcast towers rather than satellites or the internet.) About 28.5 million average weekly listeners tuned in to NPR programming during the year, down from 30.1 million in 2017, according to internal data provided by the organization.",line,Year,Listenership,https://www.journalism.org/fact-sheet/public-broadcasting/
13,2Columns/13.csv,The financial picture for news outlets in public broadcasting appeared strong both locally and nationally.,line,Year,Total average viewership,https://www.journalism.org/fact-sheet/public-broadcasting/
14,2Columns/14.csv,"This revenue for local public radio comes from a range of streams, but individual giving (which includes member revenue and major gifts) and underwriting (from businesses and foundations as well as other nonprofit organizations) are two key sources of funding. Among the 123 news-oriented licensees studied here, individual giving and underwriting accounted for a combined $595.5 million in revenue in 2017.",line,Year,Total revenue,https://www.journalism.org/fact-sheet/public-broadcasting/
