0
"Link(url='https://www.pewresearch.org', text='Home', fragment='', nofollow=False)"
"Link(url='https://www.people-press.org', text='U.S. Politics', fragment='', nofollow=False)"
"Link(url='https://www.journalism.org', text='Media & News', fragment='', nofollow=False)"
"Link(url='https://www.pewsocialtrends.org', text='Social Trends', fragment='', nofollow=False)"
"Link(url='https://www.pewforum.org', text='Religion', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/internet', text='Internet & Tech', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/science', text='Science', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/hispanic', text='Hispanics', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/global', text='Global', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/methods', text='Methods', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/fact-tank', text='Blog', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/about', text='About', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/follow', text='Follow', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/profile', text='My Account', fragment='', nofollow=False)"
"Link(url='https://pewresearch.networkforgood.com/?utm_source=PewResearch&utm_medium=InternalPromo&utm_campaign=TopDonateButton', text='DONATE', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/follow-us', text='Follow', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/publications/', text='Publications', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/topics/', text='Topics', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/publications/?formats=feature', text='Interactives', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/download-datasets/', text='Datasets', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/fact-tank/', text='Fact Tank', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/about/experts/', text='Experts', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/search', text='Site Search', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/topics', text='Topics', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/question-search', text='Poll Questions', fragment='', nofollow=False)"
"Link(url='https://www.pewsocialtrends.org/fact-sheet/asian-americans-thai-in-the-u-s/', text='Thai in the U.S. Fact Sheet', fragment='', nofollow=False)"
"Link(url='https://www.pewsocialtrends.org/fact-sheet/asian-americans-pakistanis-in-the-u-s/', text='Pakistanis in the U.S. Fact Sheet', fragment='', nofollow=False)"
"Link(url='https://www.pewsocialtrends.org/fact-sheet/asian-americans-nepalese-in-the-u-s/', text='Nepalese in the U.S. Fact Sheet', fragment='', nofollow=False)"
"Link(url='https://www.pewsocialtrends.org/fact-sheet/asian-americans-mongolians-in-the-u-s/', text='Mongolians in the U.S. Fact Sheet', fragment='', nofollow=False)"
"Link(url='https://www.pewsocialtrends.org/fact-sheet/asian-americans-malaysians-in-the-u-s/', text='Malaysians in the U.S. Fact Sheet', fragment='', nofollow=False)"
"Link(url='https://www.pewsocialtrends.org/fact-sheet/asian-americans-laotians-in-the-u-s/', text='Laotians in the U.S. Fact Sheet', fragment='', nofollow=False)"
"Link(url='https://www.pewsocialtrends.org/fact-sheet/asian-americans-koreans-in-the-u-s/', text='Koreans in the U.S. Fact Sheet', fragment='', nofollow=False)"
"Link(url='https://www.pewsocialtrends.org/fact-sheet/asian-americans-japanese-in-the-u-s/', text='Japanese in the U.S. Fact Sheet', fragment='', nofollow=False)"
"Link(url='https://www.pewsocialtrends.org/fact-sheet/asian-americans-indonesians-in-the-u-s/', text='Indonesians in the U.S. Fact Sheet', fragment='', nofollow=False)"
"Link(url='https://www.pewsocialtrends.org/fact-sheet/asian-americans-indians-in-the-u-s/', text='Indians in the U.S. Fact Sheet', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/search/fact+sheet/page/2/', text='← Prev Page', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/search/fact+sheet/', text='Page1', fragment='', nofollow=False)"
